region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,vrs_raw_control_frontier,vrs_bc_control_frontier,control_frontier_degenerate_draws,control_frontier_all_draws_degenerate,is_control_unit
Ujar district,district,2002,,,24850.0,16861.0,6277.0,,22264.0,,,,,,,0.7468088882054229,0.6951392399386912,0,False,True
Yevlakh district,district,2002,,,33148.0,20486.0,4334.0,,35668.0,,,,,,,0.9999999999999993,0.8549702059151485,10,False,True
Zagatala district,district,2002,,,27457.0,22601.0,4966.0,,29831.0,,,,,,,0.754320570306012,0.6874384998687337,1,False,True
Zangilan district,district,2002,,,153.0,152.0,12.0,,62.0,,,,,,,6.349120464173889,1.0,200,True,False
Zardab district,district,2002,,,20409.0,15972.0,5141.0,,22206.0,,,,,,,0.7862375758367661,0.7307985542223856,0,False,True
Absheron district,district,2003,,,9922.0,9922.0,1151.0,,19424.0,,,,,,,0.9999999999999999,0.8794371590089041,0,False,True
Agdash district,district,2003,,,21592.0,14165.0,11886.0,,20478.0,,,,,,,0.7472394544922882,0.6728426962965186,0,False,True
Aghdam district,district,2003,,,13077.0,12481.0,3043.0,,16141.0,,,,,,,0.664843974243346,0.5971854836380263,0,False,False
Aghjabadi district,district,2003,,,36043.0,30202.0,19199.0,,44300.0,,,,,,,0.9777895577031299,0.9022103256980798,29,False,True
Aghstafa district,district,2003,,,9918.0,7930.0,771.0,,9611.0,,,,,,,0.6437791339743573,0.5709619515863287,0,False,True
Astara district,district,2003,,,14861.0,14493.0,15.0,,14131.0,,,,,,,0.7450354912603894,0.5650588420701207,0,False,True
Babak district,district,2003,,,7593.0,6762.0,1305.0,,9810.0,,,,,,,0.7639760658928958,0.6953164704210638,0,False,True
Balakan district,district,2003,,,16559.0,13263.0,841.0,,13597.0,,,,,,,0.556475558757437,0.49692357571610357,0,False,True
Barda district,district,2003,,,32130.0,24709.0,14172.0,,30150.0,,,,,,,0.6744670529880884,0.6075326973788038,0,False,True
Beylagan district,district,2003,,,21648.0,18892.0,19787.0,,21850.0,,,,,,,0.6059294655215248,0.5462424356612416,0,False,True
Bilasuvar district,district,2003,,,17504.0,14196.0,2591.0,,14414.0,,,,,,,0.5243434823802501,0.47144988693914025,0,False,True
